# name x y w h frames
boss_1 104 432 126 44 1
boss_2 2 432 100 58 1
boss_3 124 246 74 66 1
boss_4 2 368 118 62 1
boss_5 122 368 98 60 1
bullet_enemy 234 564 9 9 1
bullet_player 209 564 6 16 1
enemy_brute 2 564 40 32 1
enemy_darter 44 564 22 30 1
enemy_grunt 168 564 30 24 1
enemy_hunter 68 564 30 30 1
enemy_racer 32 492 18 34 1
enemy_sentinel 100 564 30 28 1
enemy_warden 52 492 44 34 1
enemy_weaver 132 564 34 26 1
explosion 2 528 238 34 7
missile 200 564 7 17 1
pickup 217 564 15 15 1
planet_1 2 2 120 120 1
planet_2 124 2 120 120 1
planet_3 2 124 120 120 1
planet_4 124 124 120 120 1
planet_5 2 246 120 120 1
player 2 492 28 34 1
